Year,Name,Location,Dates,Draw- singles,Draw- doubles,Surface,Prize money,Winner- singles,Winner- doubles,Winner- team,URL_Tournament
1989,US Open,New York,1989.08.28,128,64,Outdoor Hard,"$2,554,250",Boris Becker,John McEnroe Mark Woodforde,,https://www.atptour.com/en/scores/archive/us-open/560/1989/results
1989,Geneva,Geneva,1989.09.11,32,16,Outdoor Clay,"$220,000",Marc Rosset,Andres Gomez Alberto Mancini,,https://www.atptour.com/en/scores/archive/geneva/322/1989/results
1989,Madrid,Madrid,1989.09.11,32,16,Outdoor Clay,"$205,000",Martin Jaite,Carlos Costa Tomas Carbonell,,https://www.atptour.com/en/scores/archive/madrid/309/1989/results
1989,Barcelona,Barcelona,1989.09.18,56,28,Outdoor Clay,"$492,500",Andres Gomez,Gustavo Luza Christian Miniussi,,https://www.atptour.com/en/scores/archive/barcelona/425/1989/results
1989,Los Angeles,Los Angeles,1989.09.18,32,16,Outdoor Hard,"$425,000",Aaron Krickstein,Marty Davis Tim Pawsat,,https://www.atptour.com/en/scores/archive/los-angeles/423/1989/results
1989,San Francisco,San Francisco,1989.09.25,32,16,Indoor Carpet,"$415,000",Brad Gilbert,Pieter Aldrich Danie Visser,,https://www.atptour.com/en/scores/archive/san-francisco/424/1989/results
1989,Bordeaux,Bordeaux,1989.09.25,32,16,Outdoor Clay,"$255,000",Ivan Lendl,Tomas Carbonell Carlos Di Laura,,https://www.atptour.com/en/scores/archive/bordeaux/323/1989/results
1989,Palermo,Palermo,1989.09.25,32,16,Outdoor Clay,"$123,400",Guillermo Perez-Roldan,Peter Ballauff Rudiger Haas,,https://www.atptour.com/en/scores/archive/palermo/325/1989/results
1989,Orlando,Orlando,1989.10.02,32,16,Outdoor Hard,"$415,000",Andre Agassi,Scott Davis Tim Pawsat,,https://www.atptour.com/en/scores/archive/orlando/409/1989/results
1989,Brisbane,Brisbane,1989.10.02,32,16,Outdoor Hard,"$180,000",Niclas Kroon,Darren Cahill Mark Kratzmann,,https://www.atptour.com/en/scores/archive/brisbane/326/1989/results
1989,Basel,Basel,1989.10.03,32,16,Indoor Hard,"$416,000",Jim Courier,Udo Riglewski Michael Stich,,https://www.atptour.com/en/scores/archive/basel/328/1989/results
1989,Sydney-2,Sydney,1989.10.09,32,16,Indoor Hard,"$492,500",Ivan Lendl,David Pate Scott Warner,,https://www.atptour.com/en/scores/archive/sydney/427/1989/results
1989,Toulouse,Toulouse,1989.10.09,32,16,Indoor Hard,"$255,000",Jimmy Connors,Mansour Bahrami Eric Winogradsky,,https://www.atptour.com/en/scores/archive/toulouse/327/1989/results
1989,Vienna,Vienna,1989.10.16,32,16,Indoor Carpet,"$255,000",Paul Annacone,Jan Gunnarsson Anders Jarryd,,https://www.atptour.com/en/scores/archive/vienna/337/1989/results
1989,Tel Aviv,Tel Aviv,1989.10.16,32,16,Outdoor Hard,"$130,000",Jimmy Connors,Jeremy Bates Patrick Baur,,https://www.atptour.com/en/scores/archive/tel-aviv/330/1989/results
1989,Tokyo-2,Tokyo,1989.10.17,32,16,Indoor Carpet,"$617,500",Aaron Krickstein,Kevin Curren David Pate,,https://www.atptour.com/en/scores/archive/tokyo/428/1989/results
1989,Frankfurt,Frankfurt,1989.10.23,32,16,Indoor Carpet,"$205,000",Kevin Curren,Pieter Aldrich Danie Visser,,https://www.atptour.com/en/scores/archive/frankfurt/348/1989/results
1989,Paris,Paris,1989.10.30,32,16,Indoor Carpet,"$1,267,500",Boris Becker,John Fitzgerald Anders Jarryd,,https://www.atptour.com/en/scores/archive/paris/352/1989/results
1989,Stockholm,Stockholm,1989.11.06,48,24,Indoor Carpet,"$1,025,000",Ivan Lendl,Jorge Lozano Todd Witsken,,https://www.atptour.com/en/scores/archive/stockholm/429/1989/results
1989,Sao Paulo,Sao Paulo,1989.11.06,32,16,Outdoor Carpet,"$130,000",Martin Jaite,,,https://www.atptour.com/en/scores/archive/sao-paulo/237/1989/results
1989,Wembley,Wembley,1989.11.07,32,16,Indoor Carpet,"$517,500",Michael Chang,Jakob Hlasek John McEnroe,,https://www.atptour.com/en/scores/archive/wembley/430/1989/results
1989,Johannesburg,Johannesburg,1989.11.13,32,16,Indoor Hard,"$415,000",Christo Van Rensburg,Luke Jensen Richey Reneberg,,https://www.atptour.com/en/scores/archive/johannesburg/426/1989/results
1989,Itaparica,Itaparica,1989.11.20,32,16,Outdoor Hard,"$305,000",Martin Jaite,Rick Leach Jim Pugh,,https://www.atptour.com/en/scores/archive/itaparica/240/1989/results
1989,Masters,,1989.11.28,8,0,Indoor Carpet,"$750,000",Stefan Edberg,,,https://www.atptour.com/en/scores/archive/masters/605/1989/results
1989,Masters Doubles,London,1989.12.06,0,8,Indoor Carpet,"$200,000",,Jim Grabb Patrick McEnroe,,https://www.atptour.com/en/scores/archive/masters-doubles/602/1989/results
1990,Adelaide,Adelaide,1990.01.01,32,16,Outdoor Hard,"$150,000",Thomas Muster,Andrew Castle Nduka Odizor,,https://www.atptour.com/en/scores/archive/adelaide/7308/1990/results
1990,Wellington,Wellington,1990.01.01,32,16,Outdoor Hard,"$150,000",Emilio Sanchez,Kelly Evernden Nicolas Pereira,,https://www.atptour.com/en/scores/archive/wellington/354/1990/results
1990,Sydney-1,Sydney,1990.01.08,32,16,Outdoor Hard,"$175,000",Yannick Noah,Pat Cash Mark Kratzmann,,https://www.atptour.com/en/scores/archive/sydney/338/1990/results
1990,Auckland,Auckland,1990.01.08,32,16,Outdoor Hard,"$150,000",Scott Davis,Kelly Jones Robert Van't Hof,,https://www.atptour.com/en/scores/archive/auckland/301/1990/results
1990,Australian Open,Melbourne,1990.01.15,128,64,Outdoor Hard,"$1,462,000",Ivan Lendl,Pieter Aldrich Danie Visser,,https://www.atptour.com/en/scores/archive/australian-open/580/1990/results
1990,Milan,Milan,1990.02.05,32,16,Indoor Carpet,"$600,000",Ivan Lendl,Omar Camporese Diego Nargiso,,https://www.atptour.com/en/scores/archive/milan/408/1990/results
