Year,Name,Location,Dates,Draw- singles,Draw- doubles,Surface,Prize money,Winner- singles,Winner- doubles,Winner- team
1968,Macon,"Macon, United States",1968.02.20,32,0,Indoor Hard,,Jan Leschly,,
1968,Kingston,"Kingston, Jamaica",1968.02.26,32,0,Indoor Hard,,Tom Okker,,
1968,Tulsa WCT,"Tulsa, United States",1968.02.27,8,0,Indoor Carpet,"$4,000",Cliff Drysdale,,
1968,Barranquilla,"Barranquilla, Colombia",1968.03.04,32,0,Outdoor Clay,,Tom Okker,,
1968,Caracas,"Caracas, Venezuela",1968.03.11,64,0,Outdoor Hard,,Marty Riessen,,
1968,Sao Paulo NTL-1,"Sao Paulo, Brazil",1968.03.18,4,0,Indoor Clay,"$4,000",Rod Laver,,
1968,Curacao,"Willemstad, Curacao",1968.03.18,32,0,Outdoor Hard,,Marty Riessen,,
1968,Mexico City,"Mexico City, Mexico",1968.03.18,32,0,Outdoor Clay,,,,
1968,San Diego WCT,"San Diego, United States",1968.03.22,8,0,Indoor Carpet,"$8,000",Earl Butch Buchholz,,
1968,Buenos Aires NTL,"Buenos Aires, Argentina",1968.03.23,4,0,Outdoor Clay,"$4,000",Rod Laver,,
1968,New York-1,"New York, United States",1968.03.25,32,0,Indoor Carpet,,Arthur Ashe,,
1968,Parioli,"Rome, Italy",1968.03.25,64,0,Outdoor Clay,,Ion Tiriac,,
1968,Bogota NTL,"Bogota, Colombia",1968.03.27,4,0,Indoor Clay,"$4,000",Andres Gimeno,,
1968,Los Altos Hills WCT,"Los Altos Hills, United States",1968.03.28,8,0,Indoor Carpet,"$6,000",Nikola Pilic,,
1968,Bakersfield WCT,"Bakersfield, United States",1968.04.01,8,0,Indoor Carpet,"$6,000",John Newcombe,,
1968,Johannesburg-1,"Johannesburg, South Africa",1968.04.01,64,0,Outdoor Hard,,Tom Okker,,
1968,San Juan,"San Juan, Puerto Rico",1968.04.01,32,0,Outdoor Hard,,Mark Cox,,
1968,Fresno WCT,"Fresno, United States",1968.04.05,8,0,Indoor Carpet,"$6,000",Earl Butch Buchholz,,
1968,Catania,"Catania, Italy",1968.04.08,32,0,Outdoor Clay,,Martin Mulligan,,
1968,Monte Carlo,"Monte Carlo, Monaco",1968.04.08,64,32,Outdoor Clay,,Nicola Pietrangeli,Sergei Likhachev Alex Metreveli,
1968,St. Petersburg,"St. Petersburg, United States",1968.04.08,32,0,Outdoor Clay,,Mike Belkin,,
1968,Tampa,"Tampa, United States",1968.04.08,16,0,Outdoor Clay,,Manuel Santana,,
1968,Hollywood NTL,"Hollywood, United States",1968.04.10,16,0,Outdoor Clay,"$10,000",Roy Emerson,,
1968,Charlotte,"Charlotte, United States",1968.04.15,16,0,Outdoor Clay,,Arthur Ashe,,
1968,Houston-2,"Houston, United States",1968.04.15,32,0,Outdoor Clay,,Cliff Richey,,
1968,Palermo,"Palermo, Italy",1968.04.15,32,0,Outdoor Clay,,Ion Tiriac,,
1968,Paris NTL,"Paris, France",1968.04.16,8,0,Indoor Hard,,Ken Rosewall,,
1968,Wembley NTL-1,"Wembley, Great Britain",1968.04.17,4,0,Indoor Hard,"$12,000",Rod Laver,,
1968,Evansville WCT,"Evansville, United States",1968.04.20,8,0,Indoor Carpet,"$6,000",John Newcombe,,
1968,Bournemouth,"Bournemouth, Great Britain",1968.04.22,32,16,Outdoor Clay,"$10,000",Ken Rosewall,Roy Emerson Rod Laver,
1968,Naples,"Naples, Italy",1968.04.22,64,0,Outdoor Clay,,Martin Mulligan,,
1968,Reggio Calabria,"Reggio Calabria, Italy",1968.04.29,64,0,Outdoor Clay,,,,
1968,Wembley NTL-2,"Wembley, Great Britain",1968.05.02,8,0,Indoor Hard,"$13,500",Rod Laver,,
1968,Minneapolis WCT,"Minneapolis, United States",1968.05.04,8,0,Indoor Carpet,"$6,000",Dennis Ralston,,
1968,Rome,"Rome, Italy",1968.05.06,128,32,Outdoor Clay,,Tom Okker,Tom Okker Marty Riessen,
1968,Buffalo WCT,"Buffalo, United States",1968.05.10,8,0,Indoor Carpet,"$6,000",Earl Butch Buchholz,,
1968,New York NTL,"New York, United States",1968.05.15,8,0,Indoor Carpet,"$23,500",Rod Laver,,
1968,Roland Garros Preliminary Round,"Paris, France",1968.05.26,14,0,Outdoor Clay,"$21,500",,,
1968,Roland Garros,"Paris, France",1968.05.27,128,64,Outdoor Clay,"$21,500",Ken Rosewall,Ken Rosewall Fred Stolle,
1968,Berlin,"Berlin, Germany",1968.05.29,32,0,Outdoor Clay,,Manuel Santana,,
1968,Sacramento,"Sacramento, United States",1968.05.29,64,0,Outdoor Hard,,Clark Graebner,,
1968,Baltimore WCT,"Baltimore, United States",1968.05.31,8,0,Indoor Carpet,"$6,000",Dennis Ralston,,
1968,Beckenham,"Beckenham, Great Britain",1968.06.10,64,0,Outdoor Grass,"$2,000",Fred Stolle,,
1968,Bristol,"Bristol, Great Britain",1968.06.10,64,0,Outdoor Grass,,,,
1968,Lugano,"Lugano, Switzerland",1968.06.10,64,0,Outdoor Clay,,Ion Tiriac,,
1968,Boston-1,"Boston, United States",1968.06.12,16,0,Outdoor Grass,"$32,250",Rod Laver,,
1968,London / Queen's Club,"London, Great Britain",1968.06.17,128,32,Outdoor Grass,"$2,600",,,
1968,Barcelona,"Barcelona, Spain",1968.06.17,64,32,Outdoor Clay,,Martin Mulligan,Carlos-Alberto Fernandes Patricio Rodriguez,
1968,Wimbledon,"London, Great Britain",1968.06.24,128,64,Outdoor Grass,"$43,788",Rod Laver,John Newcombe Tony Roche,
1968,Paris-2,"Paris, France",1968.07.07,32,0,Outdoor Clay,"$30,000",Rod Laver,,
1968,Dublin,"Dublin, Ireland",1968.07.08,32,0,Outdoor Grass,"$7,200",Tom Okker,,
1968,Bastad-1,"Bastad, Sweden",1968.07.08,32,0,Outdoor Clay,,Martin Mulligan,,
1968,Indianapolis,"Indianapolis, United States",1968.07.08,64,0,Outdoor Clay,,Jaime Fillol Sr.,,
1968,Gstaad,"Gstaad, Switzerland",1968.07.15,32,16,Outdoor Clay,"$15,000",Cliff Drysdale,John Newcombe Dennis Ralston,
1968,Milwaukee,"Milwaukee, United States",1968.07.15,64,0,Outdoor Clay,,Clark Graebner,,
1968,Los Angeles NTL,"Los Angeles, United States",1968.07.17,16,0,Indoor Carpet,"$16,500",Richard Pancho Gonzales,,
1968,Haverford,"Haverford, United States",1968.07.22,64,0,Outdoor Grass,,Arthur Ashe,,
1968,Hilversum,"Hilversum, Netherlands",1968.07.22,64,0,Outdoor Clay,,Robert Maud,,
1968,Bastad WCT,"Bastad, Sweden",1968.07.26,4,0,Indoor Clay,"$5,600",Dennis Ralston,,
1968,South Orange,"South Orange, United States",1968.07.29,64,0,Outdoor Grass,,Charlie Pasarell,,
1968,Munich,"Munich, Germany",1968.07.31,64,0,Outdoor Clay,,Martin Mulligan,,
1968,Cannes WCT,"Cannes, France",1968.08.01,8,0,Indoor Hard,,John Newcombe,,
1968,Hamburg,"Hamburg, Germany",1968.08.05,64,32,Outdoor Clay,"$10,000",John Newcombe,Tom Okker Marty Riessen,
1968,Southampton,"Southampton, United States",1968.08.05,64,0,Outdoor Grass,,Ron Holmberg,,
1968,Binghamton NTL,"Binghamton, United States",1968.08.09,4,0,Outdoor Hard,"$6,000",Andres Gimeno,,
1968,Newport WCT,"Newport, United States",1968.08.12,8,0,Outdoor Grass,"$10,000",Marty Riessen,,
1968,Toronto,"Toronto, Canada",1968.08.12,64,16,Outdoor Clay,"$2,400",Ramanathan Krishnan,,
1968,Kitzbuhel,"Kitzbuhel, Austria",1968.08.12,32,32,Outdoor Clay,,Martin Mulligan,Wilhelm Bungert Jurgen Fassbender,
1968,Fort Worth NTL,"Fort Worth, United States",1968.08.15,8,0,Outdoor Hard,"$16,500",Ken Rosewall,,
1968,Boston-2,"Boston, United States",1968.08.17,128,0,Outdoor Grass,,Arthur Ashe,,
1968,US Open,"New York, United States",1968.08.29,96,48,Outdoor Grass,"$80,000",Arthur Ashe,Robert Lutz Stan Smith,
1968,Los Angeles-2,"Los Angeles, United States",1968.09.14,128,32,Outdoor Hard,"$22,500",Rod Laver,Ken Rosewall Fred Stolle,
1968,Berkeley,"Berkeley, United States",1968.09.22,128,0,Outdoor Hard,,Stan Smith,,
1968,Pretoria WCT,"Pretoria, South Africa",1968.09.26,16,0,Outdoor Clay,"$14,000",John Newcombe,,
1968,Midland NTL,"Midland, United States",1968.09.27,8,0,Outdoor Hard,"$5,500",Richard Pancho Gonzales,,
1968,Johannesburg WCT,"Johannesburg, South Africa",1968.10.02,16,0,Outdoor Hard,"$22,400",Tony Roche,,
1968,La Jolla,"La Jolla, United States",1968.10.02,32,0,Outdoor Hard,,Stan Smith,,
1968,Corpus Christi NTL,"Corpus Christi, United States",1968.10.04,8,0,Outdoor Hard,"$5,500",Rod Laver,,
1968,Durban WCT,"Durban, South Africa",1968.10.06,16,0,Outdoor Hard,"$14,000",John Newcombe,,
1968,East London WCT,"East London, South Africa",1968.10.09,16,0,Outdoor Hard,"$2,800",John Newcombe,,
1968,Port Elizabeth WCT,"Port Elizabeth, South Africa",1968.10.10,16,0,Outdoor Hard,"$4,200",Roger Taylor,,
1968,Cape Town WCT,"Cape Town, South Africa",1968.10.11,16,0,Outdoor Hard,"$16,800",Tony Roche,,
1968,Kimberley WCT,"Kimberley, South Africa",1968.10.16,16,0,Outdoor Clay,"$2,800",John Newcombe,,
1968,Sao Paulo NTL-2,"Sao Paulo, Brazil",1968.10.21,4,0,Indoor Clay,"$5,000",Rod Laver,,
1968,La Paz NTL,"La Paz, Bolivia",1968.10.27,4,0,Outdoor Clay,"$5,000",Rod Laver,,
1968,Lima NTL,"Lima, Peru",1968.10.31,4,0,Outdoor Clay,"$5,000",Fred Stolle,,
1968,Buenos Aires-2,"Buenos Aires, Argentina",1968.11.04,64,16,Outdoor Clay,"$12,500",Roy Emerson,,
1968,Vienna WCT,"Vienna, Austria",1968.11.07,4,0,Indoor Hard,,Tony Roche,,
1968,London-2,"London, Great Britain",1968.11.11,32,0,Indoor Hard,$500,Bob Hewitt,,
1968,Wembley-3,"Wembley, Great Britain",1968.11.15,16,0,Indoor Hard,"$48,000",Ken Rosewall,,
1968,London-3,"London, Great Britain",1968.11.21,8,0,Indoor Hard,$500,Stan Smith,,
1968,Adelaide,"Adelaide, Australia",1968.11.25,64,0,Outdoor Grass,,,,
1968,New York-3,"New York, United States",1968.11.28,8,0,Indoor Carpet,"$20,000",Tony Roche,,
1968,Nashville,"Nashville, United States",1968.12.07,6,0,Indoor Carpet,"$8,500",Rod Laver,,
1968,Brisbane,"Brisbane, Australia",1968.12.09,64,0,Outdoor Grass,,Arthur Ashe,,
1968,New Orleans-2,"New Orleans, United States",1968.12.27,16,0,Indoor Carpet,,Cliff Richey,,
1969,Hobart,"Hobart, Australia",1968.12.30,64,16,Outdoor Grass,"$3,500",Fred Stolle,Mal Anderson Roger Taylor,
1969,Perth,"Perth, Australia",1968.12.30,64,0,Outdoor Grass,"$3,500",Marty Riessen,,
1969,Melbourne,"Melbourne, Australia",1969.01.06,32,0,Outdoor Grass,"$11,500",Stan Smith,,
1969,Sydney,"Sydney, Australia",1969.01.13,64,0,Outdoor Grass,"$20,000",Tony Roche,,
1969,Australian Open,"Brisbane, Australia",1969.01.20,64,32,Outdoor Grass,"$26,500",Rod Laver,Roy Emerson Rod Laver,
1969,Omaha,"Omaha, United States",1969.01.26,16,0,Indoor Hard,,Cliff Richey,,
1969,Auckland,"Auckland, New Zealand",1969.01.29,32,0,Outdoor Grass,"$6,000",Tony Roche,,
1969,Richmond,"Richmond, United States",1969.01.31,8,0,Indoor Carpet,,Clark Graebner,,
1969,Philadelphia,"Philadelphia, United States",1969.02.03,32,10,Indoor Carpet,"$30,000",Rod Laver,Tom Okker Marty Riessen,
1969,Salisbury,"Salisbury, United States",1969.02.10,64,0,Indoor Hard,,Stan Smith,,
1969,Hollywood,"Hollywood, United States",1969.02.13,16,0,Outdoor Clay,"$16,500",Tony Roche,,
1969,Macon,"Macon, United States",1969.02.17,64,0,Indoor Carpet,,Manuel Orantes,,
1969,Oakland,"Oakland, United States",1969.02.23,16,0,Indoor Carpet,"$15,000",Tony Roche,,
1969,Curacao,"Willemstad, Curacao",1969.02.24,16,0,Outdoor Hard,,Cliff Richey,,
1969,Kingston,"Kingston, Jamaica",1969.02.24,32,0,Indoor Hard,,Thomaz Koch,,
1969,Los Angeles-1,"Los Angeles, United States",1969.03.03,16,0,Indoor Carpet,"$17,500",Rod Laver,,
1969,Caracas,"Caracas, Venezuela",1969.03.03,32,0,Outdoor Hard,,Thomaz Koch,,
1969,Barranquilla,"Barranquilla, Colombia",1969.03.10,64,0,Outdoor Clay,,Ilie Nastase,,
1969,St. Petersburg,"St. Petersburg, United States",1969.03.17,64,0,Outdoor Clay,,Zeljko Franulovic,,
1969,New York-1,"New York, United States",1969.03.24,32,0,Indoor Carpet,"$25,000",Andres Gimeno,,
1969,San Juan,"San Juan, Puerto Rico",1969.03.31,64,0,Outdoor Hard,"$1,250",Arthur Ashe,,
1969,Johannesburg,"Johannesburg, South Africa",1969.04.01,128,0,Outdoor Hard,"$25,000",Rod Laver,,
1969,Charlotte,"Charlotte, United States",1969.04.07,32,0,Outdoor Clay,,Mark Cox,,
1969,Mexico City,"Mexico City, Mexico",1969.04.07,32,0,Outdoor Clay,,,,
1969,Monte Carlo,"Monte Carlo, Monaco",1969.04.14,128,32,Outdoor Clay,"$12,000",Tom Okker,Owen Davidson John Newcombe,
1969,Durban,"Durban, South Africa",1969.04.14,64,0,Outdoor Hard,"$8,000",Robert Maud,,
1969,Houston,"Houston, United States",1969.04.14,32,0,Outdoor Clay,,Zeljko Franulovic,,
1969,Rome,"Rome, Italy",1969.04.21,128,32,Outdoor Clay,"$35,000",John Newcombe,John Newcombe Tony Roche,
1969,Dallas,"Dallas, United States",1969.04.21,32,0,Indoor Carpet,,Stan Smith,,
1969,Anaheim,"Anaheim, United States",1969.04.25,8,0,Indoor Carpet,"$10,000",Rod Laver,,
1969,Bournemouth,"Bournemouth, Great Britain",1969.04.28,32,0,Outdoor Clay,"$17,000",John Newcombe,,
1969,Japanese Championships,"Osaka, Tokyo and Nagoya, Japan",1969.05.01,10,0,Indoor Carpet,"$25,000",Tom Okker,,
1969,Brussels,"Brussels, Belgium",1969.05.12,32,0,Outdoor Clay,"$10,000",Tom Okker,,
1969,Barcelona-1,"Barcelona, Spain",1969.05.12,64,32,Outdoor Clay,,Manuel Orantes,Manuel Orantes Patricio Rodriguez,
1969,New York-2,"New York, United States",1969.05.15,8,0,Indoor Carpet,"$25,000",Rod Laver,,
1969,Berlin,"Berlin, Germany",1969.05.19,64,0,Outdoor Clay,"$10,000",Raymond Moore,,
1969,London-2,"London, Great Britain",1969.05.21,4,0,Indoor Hard,"$12,000",Rod Laver,,
1969,Amsterdam,"Amsterdam, Netherlands",1969.05.22,8,0,Outdoor Clay,"$5,500",Tom Okker,,
1969,Roland Garros,"Paris, France",1969.05.26,128,128,Outdoor Clay,"$48,500",Rod Laver,John Newcombe Tony Roche,
1969,Sacramento,"Sacramento, United States",1969.05.26,16,0,Outdoor Hard,,Clark Graebner,,
1969,Manchester,"Manchester, Great Britain",1969.06.02,64,0,Outdoor Grass,,,,
1969,Bristol,"Bristol, Great Britain",1969.06.09,64,0,Outdoor Grass,"$17,000",Ken Rosewall,,
1969,Beckenham,"Beckenham, Great Britain",1969.06.09,64,0,Outdoor Grass,"$1,000",Ove Nils Bengtson,,
1969,London / Queen's Club,"London, Great Britain",1969.06.16,128,64,Outdoor Grass,"$3,500",Fred Stolle,Owen Davidson Dennis Ralston,
1969,Wimbledon,"London, Great Britain",1969.06.23,128,64,Outdoor Grass,"$50,544",Rod Laver,John Newcombe Tony Roche,
1969,Washington,"Washington, United States",1969.07.07,64,16,Outdoor Clay,"$25,000",Thomaz Koch,,
1969,Dublin,"Dublin, Ireland",1969.07.07,32,0,Outdoor Grass,"$8,000",Bob Hewitt,,
1969,Bastad,"Bastad, Sweden",1969.07.07,32,0,Outdoor Clay,,Manuel Santana,,
1969,Boston-1,"Boston, United States",1969.07.09,16,0,Outdoor Hard,"$33,000",Rod Laver,,
1969,Cincinnati,"Cincinnati, United States",1969.07.14,96,64,Outdoor Clay,"$15,000",Cliff Richey,Robert Lutz Stan Smith,
1969,Aix-en-Provence,"Aix-en-Provence, France",1969.07.14,64,0,Outdoor Clay,"$6,000",Roy Emerson,,
1969,Milwaukee,"Milwaukee, United States",1969.07.18,8,0,Outdoor Clay,"$10,000",Tom Okker,,
1969,Indianapolis,"Indianapolis, United States",1969.07.21,64,32,Outdoor Clay,"$20,000",Zeljko Franulovic,Bill Bowrey Clark Graebner,
1969,Munich,"Munich, Germany",1969.07.21,64,0,Outdoor Clay,,Bob Hewitt,,
1969,Gstaad,"Gstaad, Switzerland",1969.07.22,64,16,Outdoor Clay,"$20,000",Roy Emerson,Tom Okker Marty Riessen,
1969,South Orange,"South Orange, United States",1969.07.28,64,0,Outdoor Grass,"$16,850",Stan Smith,,
1969,Hilversum,"Hilversum, Netherlands",1969.07.28,64,16,Outdoor Clay,"$6,500",Tom Okker,,
1969,Portschach,"Portschach, Austria",1969.07.30,8,0,Outdoor Clay,"$12,500",Roy Emerson,,
1969,Hamburg,"Hamburg, Germany",1969.08.04,64,32,Outdoor Clay,"$18,000",Tony Roche,Tom Okker Marty Riessen,
1969,Southampton,"Southampton, United States",1969.08.04,64,0,Outdoor Grass,"$12,000",Clark Graebner,,
1969,Toronto,"Toronto, Canada",1969.08.04,64,32,Outdoor Clay,"$9,000",Cliff Richey,Ron Holmberg John Newcombe,
1969,St. Louis,"St. Louis, United States",1969.08.04,4,0,Outdoor Hard,"$6,000",Rod Laver,,
1969,Binghamton,"Binghamton, United States",1969.08.08,4,0,Outdoor Hard,"$6,000",Rod Laver,,
1969,Haverford,"Haverford, United States",1969.08.11,64,0,Outdoor Grass,"$10,000",Cliff Richey,,
1969,Kitzbuhel,"Kitzbuhel, Austria",1969.08.11,64,0,Outdoor Clay,,Manuel Santana,,
1969,Fort Worth,"Fort Worth, United States",1969.08.13,16,0,Outdoor Hard,"$22,500",Rod Laver,,
1969,Boston-2,"Boston, United States",1969.08.16,128,0,Outdoor Grass,"$20,000",Stan Smith,,
1969,Newport,"Newport, United States",1969.08.20,8,0,Outdoor Grass,"$10,000",Tom Okker,,
1969,Baltimore,"Baltimore, United States",1969.08.21,6,0,Outdoor Grass,"$3,350",Rod Laver,,
1969,US Open,"New York, United States",1969.08.27,128,64,Outdoor Grass,"$105,000",Rod Laver,Ken Rosewall Fred Stolle,
1969,Chicago,"Chicago, United States",1969.09.08,16,0,Indoor Carpet,"$25,000",Ken Rosewall,,
1969,Atlanta,"Atlanta, United States",1969.09.12,8,0,Outdoor Hard,"$10,000",Earl Butch Buchholz,,
1969,Los Angeles-2,"Los Angeles, United States",1969.09.20,64,32,Outdoor Hard,"$24,500",Richard Pancho Gonzales,Richard Pancho Gonzales Ron Holmberg,
1969,Berkeley,"Berkeley, United States",1969.09.29,64,0,Outdoor Hard,"$16,500",Stan Smith,,
1969,Tucson,"Tucson, United States",1969.10.03,8,0,Outdoor Hard,"$10,000",Tony Roche,,
1969,Midland,"Midland, United States",1969.10.03,4,0,Outdoor Hard,"$6,000",Ken Rosewall,,
1969,Las Vegas,"Las Vegas, United States",1969.10.06,32,0,Outdoor Hard,"$40,000",Richard Pancho Gonzales,,
1969,Denver,"Denver, United States",1969.10.17,6,0,Indoor Hard,"$11,000",Ilie Nastase,,
1969,Cologne,"Cologne, Germany",1969.10.18,8,0,Indoor Hard,"$12,500",Andres Gimeno,,
1969,Barcelona-2,"Barcelona, Spain",1969.11.07,4,0,Outdoor Clay,"$6,000",Andres Gimeno,,
1969,Paris,"Paris, France",1969.11.07,32,16,Indoor Carpet,,Tom Okker,,
1969,Buenos Aires,"Buenos Aires, Argentina",1969.11.10,64,32,Outdoor Clay,"$10,000",Francois Jauffret,Patricio Cornejo Jaime Fillol Sr.,
1969,Vienna,"Vienna, Austria",1969.11.13,8,0,Indoor Hard,"$11,500",Tony Roche,,
1969,London-4,"London, Great Britain",1969.11.13,8,0,Indoor Carpet,$500,Mark Cox,,
1969,Wembley,"Wembley, Great Britain",1969.11.17,32,0,Indoor Carpet,"$36,000",Rod Laver,,
1969,Stockholm,"Stockholm, Sweden",1969.11.24,32,16,Indoor Hard,"$26,000",Nikola Pilic,Roy Emerson Rod Laver,
1969,Brisbane,"Brisbane, Australia",1969.12.01,64,0,Outdoor Grass,,Ray Ruffels,,
1969,New Orleans,"New Orleans, United States",1969.12.26,8,0,Indoor Carpet,"$4,200",Cliff Richey,,
1969,Adelaide,"Adelaide, Australia",1969.12.29,64,0,Outdoor Grass,,,,
1970,Australian Round Robin,Australia,1970.01.04,5,0,Outdoor Grass,"$10,000",Tony Roche,,
1970,Melbourne,"Melbourne, Australia",1970.01.10,64,0,Outdoor Grass,"$12,000",John Newcombe,,
1970,Australian Open,"Sydney, Australia",1970.01.19,64,32,Outdoor Grass,"$12,000",Arthur Ashe,Robert Lutz Stan Smith,
1970,Auckland,"Auckland, New Zealand",1970.01.26,32,0,Outdoor Grass,"$11,000",Roger Taylor,,
1970,Omaha,"Omaha, United States",1970.01.28,16,0,Indoor Hard,"$10,000",Stan Smith,,
1970,Philadelphia,"Philadelphia, United States",1970.02.02,64,32,Indoor Carpet,"$50,000",Rod Laver,Ilie Nastase Ion Tiriac,
1970,New York,"New York, United States",1970.02.09,8,0,Indoor Carpet,"$7,500",Manuel Santana,,
1970,Hollywood,"Hollywood, United States",1970.02.12,8,0,Outdoor Clay,"$10,000",Ken Rosewall,,
1970,Richmond,"Richmond, United States",1970.02.13,8,0,Indoor Carpet,"$12,500",Arthur Ashe,,
1970,Salisbury,"Salisbury, United States",1970.02.16,64,0,Indoor Hard,"$50,000",Ilie Nastase,,
