Year,Name,Location,Dates,Draw- singles,Draw- doubles,Surface,Prize money,Winner- singles,Winner- doubles,Winner- team
1956,French Championships,"Paris, France",1956.05.14,128,0,Outdoor Clay,,Lew Hoad,,
1956,Wimbledon,"London, Great Britain",1956.06.25,128,0,Outdoor Grass,,Lew Hoad,,
1956,US Championships,"New York, United States",1956.08.31,128,0,Outdoor Grass,,Ken Rosewall,,
1957,Australian Championships,"Melbourne, Australia",1957.01.18,32,0,Outdoor Grass,,Ashley Cooper,,
1957,French Championships,"Paris, France",1957.05.21,128,0,Outdoor Clay,,Sven Davidson,,
1957,Wimbledon,"London, Great Britain",1957.06.24,128,0,Outdoor Grass,,Lew Hoad,,
1957,US Championships,"New York, United States",1957.08.30,128,0,Outdoor Grass,,Mal Anderson,,
1958,Australian Championships,"Sydney, Australia",1958.01.17,32,0,Outdoor Grass,,Ashley Cooper,,
1958,French Championships,"Paris, France",1958.05.20,128,0,Outdoor Clay,,Mervyn Rose,,
1958,Wimbledon,"London, Great Britain",1958.06.23,128,0,Outdoor Grass,,Ashley Cooper,,
1958,US Championships,"New York, United States",1958.08.29,128,0,Outdoor Grass,,Ashley Cooper,,
1959,Australian Championships,"Adelaide, Australia",1959.01.16,64,0,Outdoor Grass,,Alejandro Olmedo,,
1959,French Championships,"Paris, France",1959.05.19,128,0,Outdoor Clay,,Nicola Pietrangeli,,
1959,Wimbledon,"London, Great Britain",1959.06.22,128,0,Outdoor Grass,,Alejandro Olmedo,,
1959,US Championships,"New York, United States",1959.09.04,128,0,Outdoor Grass,,Neale Fraser,,
1960,Australian Championships,"Brisbane, Australia",1960.01.22,32,0,Outdoor Grass,,Rod Laver,,
1960,French Championships,"Paris, France",1960.05.17,128,0,Outdoor Clay,,Nicola Pietrangeli,,
1960,Wimbledon,"London, Great Britain",1960.06.20,128,0,Outdoor Grass,,Neale Fraser,,
1960,US Championships,"New York, United States",1960.09.02,128,0,Outdoor Grass,,Neale Fraser,,
1961,Australian Championships,"Melbourne, Australia",1961.01.20,64,0,Outdoor Grass,,Roy Emerson,,
1961,French Championships,"Paris, France",1961.05.16,128,0,Outdoor Clay,,Manuel Santana,,
1961,Wimbledon,"London, Great Britain",1961.06.26,128,0,Outdoor Grass,,Rod Laver,,
1961,US Championships,"New York, United States",1961.09.01,128,0,Outdoor Grass,,Roy Emerson,,
1962,Australian Championships,"Sydney, Australia",1962.01.05,64,0,Outdoor Grass,,Rod Laver,,
1962,French Championships,"Paris, France",1962.05.21,128,0,Outdoor Clay,,Rod Laver,,
1962,Wimbledon,"London, Great Britain",1962.06.25,128,0,Outdoor Grass,,Rod Laver,,
1962,US Championships,"New York, United States",1962.08.29,128,0,Outdoor Grass,,Rod Laver,,
1963,Australian Championships,"Adelaide, Australia",1963.01.10,64,0,Outdoor Grass,,Roy Emerson,,
1963,French Championships,"Paris, France",1963.05.13,128,0,Outdoor Clay,,Roy Emerson,,
1963,Wimbledon,"London, Great Britain",1963.06.24,128,0,Outdoor Grass,,Chuck McKinley,,
1963,US Championships,"New York, United States",1963.08.28,128,0,Outdoor Grass,,Rafael Osuna,,
1964,Australian Championships,"Brisbane, Australia",1964.01.04,64,0,Outdoor Grass,,Roy Emerson,,
1964,French Championships,"Paris, France",1964.05.19,128,0,Outdoor Clay,,Manuel Santana,,
1964,Wimbledon,"London, Great Britain",1964.06.22,128,0,Outdoor Grass,,Roy Emerson,,
1964,US Championships,"New York, United States",1964.09.02,128,0,Outdoor Grass,,Roy Emerson,,
1965,Australian Championships,"Melbourne, Australia",1965.01.22,64,0,Outdoor Grass,,Roy Emerson,,
1965,French Championships,"Paris, France",1965.05.17,128,0,Outdoor Clay,,Fred Stolle,,
1965,Wimbledon,"London, Great Britain",1965.06.21,128,0,Outdoor Grass,,Roy Emerson,,
1965,US Championships,"New York, United States",1965.09.01,128,0,Outdoor Grass,,Manuel Santana,,
1966,Australian Championships,"Sydney, Australia",1966.01.21,64,0,Outdoor Grass,,Roy Emerson,,
1966,French Championships,"Paris, France",1966.05.23,128,0,Outdoor Clay,,Tony Roche,,
1966,Wimbledon,"London, Great Britain",1966.06.20,128,0,Outdoor Grass,,Manuel Santana,,
1966,US Championships,"New York, United States",1966.09.01,128,0,Outdoor Grass,,Fred Stolle,,
1967,Australian Championships,"Adelaide, Australia",1967.01.20,64,0,Outdoor Grass,,Roy Emerson,,
1967,French Championships,"Paris, France",1967.05.22,128,0,Outdoor Clay,,Roy Emerson,,
1967,Wimbledon,London,1967.06.26,128,64,Outdoor Grass,,John Newcombe,,
1967,US Championships,"New York, United States",1967.08.30,128,0,Outdoor Grass,,John Newcombe,,
1968,Cape Town-1,"Cape Town, South Africa",1968.01.01,32,0,Outdoor Hard,,,,
1968,Perth,"Perth, Australia",1968.01.01,4,0,Outdoor Grass,,,,
1968,Bloemfontein,"Bloemfontein, South Africa",1968.01.08,64,0,Outdoor Hard,,Marty Riessen,,
1968,Hobart,"Hobart, Australia",1968.01.08,64,0,Outdoor Grass,,Ray Ruffels,,
1968,Durban-1,"Durban, South Africa",1968.01.14,64,0,Outdoor Hard,,Robert Maud,,
1968,Australian Championships,"Melbourne, Australia",1968.01.19,64,32,Outdoor Grass,,Bill Bowrey,Dick Crealy Allan Stone,
1968,Sydney WCT,"Sydney, Australia",1968.01.20,8,0,Outdoor Carpet,"$30,000",Tony Roche,,
1968,Auckland,"Auckland, New Zealand",1968.01.31,32,0,Outdoor Grass,,Barry Phillips-Moore,,
1968,WCT World Cup,"Kansas City and St. Louis, United States",1968.02.01,8,0,Indoor Carpet,"$20,000",,,
1968,Richmond,"Richmond, United States",1968.02.02,8,0,Indoor Hard,,Arthur Ashe,,
1968,Shreveport WCT,"Shreveport, United States",1968.02.08,8,0,Indoor Hard,"$1,500",Dennis Ralston,,
1968,Philadelphia,"Philadelphia, United States",1968.02.08,16,8,Indoor Carpet,,Manuel Santana,,
1968,Miami WCT,"Miami, United States",1968.02.09,8,0,Indoor Carpet,"$4,000",Earl Butch Buchholz,,
1968,Salisbury,"Salisbury, United States",1968.02.12,64,0,Indoor Hard,,Cliff Richey,,
1968,Houston WCT,"Houston, United States",1968.02.13,8,0,Indoor Carpet,"$4,000",Earl Butch Buchholz,,
1968,New Orleans WCT,"New Orleans, United States",1968.02.16,8,0,Indoor Carpet,"$4,000",Cliff Drysdale,,
1968,Orlando WCT,"Orlando, United States",1968.02.20,8,0,Indoor Carpet,"$4,000",Dennis Ralston,,
